date,069500.KS,SPY,TLT
2020-01-02,29800,324.87,137.01
2020-04-01,22100,246.15,162.93
2020-07-01,28950,310.52,163.71
2020-10-01,31150,337.04,160.60
2021-01-04,40200,368.79,151.23
2021-04-01,43050,400.61,136.10
2021-07-01,43900,430.43,145.67
2021-10-01,39200,434.24,143.18
2022-01-03,39700,477.71,148.19
2022-04-01,35600,452.92,132.88
2022-07-01,30300,381.24,114.14
2022-10-03,28300,357.18,102.03
2023-01-02,28950,380.82,100.92
2023-04-03,33700,410.95,106.02
2023-07-03,35450,443.79,101.94
2023-10-02,34100,427.31,86.92
2024-01-02,38000,472.65,98.88
2024-04-01,39500,522.16,91.35
2024-07-01,41850,545.34,91.86
2024-10-01,40500,568.62,88.53
2024-12-31,43200,586.08,87.39
